Type,No,Content
ChatGPT Prompt,1,"મારા જ્વેલરી business માટે 30 Instagram Reel ideas આપો. Audience, pain point, hook, short script અને CTA સાથે Gujaratiમાં આપો."
ChatGPT Prompt,2,મારા કપડાં માટે 10 એવી Reel hooks લખો જે curiosity અને practical value આપે. Clickbait નહીં.
ChatGPT Prompt,3,"મારા કુર્તી product/service માટે Instagram caption લખો: Hook, 3 benefits, trust point અને CTA સાથે."
ChatGPT Prompt,4,"મારા સાડી business માટે 7 દિવસનો Instagram content calendar બનાવો જેમાં Education, Proof, Product અને Offerનું balance હોય."
ChatGPT Prompt,5,મારા રિયલ એસ્ટેટ માટે 15 customer FAQs અને દરેકનો short Instagram-friendly જવાબ આપો.
ChatGPT Prompt,6,મારા કેફે માટે customer objection 'ભાવ વધારે છે' handle કરવા માટે 5 respectful sales replies લખો.
ChatGPT Prompt,7,"મારા રેસ્ટોરન્ટ માટે WhatsApp enquiry પછીના 5 follow-up messages લખો, pushy tone વગર."
ChatGPT Prompt,8,"મારા સલોન માટે 20 content angles આપો: mistakes, myths, checklist, comparison અને case study categoriesમાં."
ChatGPT Prompt,9,"મારા રિસોર્ટ માટે 30-day content strategy બનાવો. Goal: enquiries. દરેક દિવસે topic, format અને CTA આપો."
ChatGPT Prompt,10,"મારા ફોટોગ્રાફી માટે એક 30-second Reel script લખો: પ્રથમ 3 secondsનો hook, problem, solution, example અને CTA."
ChatGPT Prompt,11,"મારા જિમ business માટે 30 Instagram Reel ideas આપો. Audience, pain point, hook, short script અને CTA સાથે Gujaratiમાં આપો."
ChatGPT Prompt,12,મારા બ્યુટી માટે 10 એવી Reel hooks લખો જે curiosity અને practical value આપે. Clickbait નહીં.
ChatGPT Prompt,13,"મારા મોબાઇલ શોપ product/service માટે Instagram caption લખો: Hook, 3 benefits, trust point અને CTA સાથે."
ChatGPT Prompt,14,"મારા પ્રિન્ટિંગ business માટે 7 દિવસનો Instagram content calendar બનાવો જેમાં Education, Proof, Product અને Offerનું balance હોય."
